id_empresa,datetime,processo,uso de cpu,uso de gpu,mac_address
1,2025-11-05 21:02:59,Notion.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,WmiApSrv.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,FMService64.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,OfficeClickToRun.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Lenovo.Modern.ImController.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,LenovoUtilityService.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,LNBITSSvc.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,RtkBtManServ.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,mysqld.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,RtkAudUService64.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,MsMpEng.exe,0.7,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,wslservice.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,RuntimeBroker.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,MSPCManagerService.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,MSPCManager.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,mysqld.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,conhost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
